#{"t_start": 1761400245.0864158, "env_id": "None"}
r,l,t
31.479996,149,182.244182
7.200001,113,182.588627
25.525715,145,182.588627
8.76857,118,182.610058
7.6800003,104,182.621137
3.3714285,86,182.944604
10.665715,100,183.219289
5.257143,95,183.59408
7.3714294,120,183.73303
3.4285717,98,183.972799
9.377144,108,184.131775
10.405715,110,184.172052
28.039999,130,184.527995
2.9714284,89,184.550114
11.531429,128,184.74668
24.202858,110,185.179691
23.145714,116,185.36847
8.831428,115,185.746511
25.89143,114,185.774804
30.24,151,186.127209
17.325714,116,186.135285
28.654287,131,186.362883
12.665714,121,186.391655
3.8857145,94,186.51335
9.691429,95,187.431224
21.131428,111,187.518976
15.0742855,142,187.643472
3.5428572,95,188.043383
28.051428,130,188.135185
22.62,123,188.313547
15.002859,178,188.912001
13.291429,127,189.178251
31.542858,183,189.352328
25.87143,132,189.424741
11.331427,125,189.968687
17.865715,146,190.027411
20.500002,135,190.206741
25.319998,107,190.392505
8.311429,218,190.631967
20.214285,97,190.666215
14.091427,135,191.087807
22.78,123,191.161764
11.297143,101,191.740873
28.182856,142,191.995497
26.274286,125,192.350646
30.245714,153,192.365892
36.69142,176,192.3841
18.100002,133,192.536588
22.397144,116,192.784281
25.214283,129,192.819741
10.605715,105,193.227866
2.514286,78,193.539043
5.4857144,95,193.767375
12.211429,130,193.937545
12.954287,122,194.334874
4.9714293,106,194.360042
6.1714296,105,194.386383
2.8314304,168,195.044163
28.008572,164,195.892959
2.7428575,92,196.008585
27.04,124,196.02486
11.405715,99,196.038954
27.077145,166,196.238575
13.0742855,148,196.246707
7.0857153,111,196.28718
5.9428577,106,196.651085
28.94,122,197.566786
21.98,104,197.576805
25.705713,136,197.797183
25.668571,142,197.957049
18.968569,147,198.183163
30.674286,140,198.415983
23.477146,195,198.605464
18.680002,182,198.75777
4.114286,92,198.913095
9.642857,120,199.207494
10.099999,132,199.613032
27.991428,131,200.009865
4.857143,100,200.031004
29.294285,118,200.067038
29.04857,160,200.102343
10.214286,121,200.865293
32.842854,160,200.899572
3.0285716,87,201.135724
28.88857,174,201.252398
24.965715,122,201.68515
23.87143,127,201.884708
3.5428572,88,202.495606
3.9428573,91,202.754261
7.3714294,115,202.768349
3.6571417,181,202.916109
14.745705,216,202.929354
5.600001,106,203.080525
10.665715,93,203.316959
5.314286,100,203.664005
27.78,127,204.299449
5.371429,106,204.475571
15.694286,117,204.476572
26.11143,123,204.540118
22.937143,111,204.574447
24.911428,127,204.716845
10.748572,110,204.904126
3.485714,96,204.967906
2.2857146,76,205.781462
26.605713,129,206.2134
27.480001,141,206.221462
6.0,100,206.236538
28.842857,129,206.361837
27.92,153,206.568038
26.274288,149,206.632379
25.439997,132,206.781948
4.5714293,110,207.343918
2.7428575,82,207.399076
8.837143,106,207.670829
4.8000007,95,207.856299
29.76857,127,208.037592
25.434284,128,208.090895
26.922855,117,209.040782
26.682858,134,209.210049
3.7142854,90,209.28376
28.922855,118,209.311242
33.088573,192,209.81016
4.0571427,103,209.856627
19.517143,123,209.991841
26.694286,235,210.301438
21.688572,102,210.776511
23.197144,118,211.174518
24.45714,121,211.383506
26.191427,121,211.604785
32.108574,127,211.681151
2.8942866,146,211.688232
27.391428,166,212.150903
25.745714,154,213.013419
31.61143,193,213.052674
30.034285,141,213.120951
19.19143,109,213.27107
26.711428,131,213.479966
8.151433,165,213.704578
25.231428,141,213.739646
12.822857,149,214.276569
29.754284,146,215.086503
25.951427,143,215.101619
11.554287,123,215.287631
16.705715,148,215.31866
24.774284,123,215.416086
15.5742855,134,215.668296
26.037144,170,215.791684
25.699997,126,216.125801
9.522856,101,216.776956
23.094286,99,216.945069
32.76857,146,217.479161
25.525713,150,217.707363
25.300001,155,218.213512
2.3428574,84,218.213512
7.448575,166,218.380923
38.154285,213,218.429354
24.52857,129,218.950358
22.502857,104,219.130995
26.739998,134,219.322099
32.31143,214,219.380957
10.665715,101,219.823092
32.25714,149,220.436055
3.5971417,164,220.486377
31.248573,168,220.519058
26.122856,124,220.691236
27.557144,124,220.974318
32.660004,149,221.144377
24.06,136,221.203086
29.791431,130,221.559179
4.057143,100,221.79386
28.951427,121,222.169501
35.17714,183,222.871363
29.622854,148,222.960648
30.385714,132,222.983894
24.857141,112,223.099989
34.10286,192,223.207193
31.388569,166,223.372463
34.3,144,223.791504
31.465714,154,224.288727
3.657143,98,224.740187
9.84,114,224.98354
28.011427,152,225.225978
27.094286,143,225.245029
22.674286,113,225.63743
18.022858,142,225.650442
26.745716,152,225.650442
26.794285,115,226.114711
4.6857147,97,226.289045
4.2857146,91,226.512485
29.014284,144,226.717197
3.4857144,96,227.001649
25.528572,134,227.574776
20.74,100,227.669425
32.625713,136,228.069795
24.3,117,228.115232
26.95143,109,228.244761
4.4000006,90,228.267143
12.922863,222,228.328406
18.714302,238,228.939001
3.4857144,91,229.439177
27.491428,143,229.462199
24.914282,148,229.686138
26.32286,126,229.918293
30.625713,165,230.362872
22.10286,188,230.599773
36.86286,190,230.987777
32.745712,157,231.060048
31.44286,137,231.306713
21.388573,107,231.445797
26.062859,148,231.468116
5.1971426,153,232.020203
27.91143,138,232.478998
26.194284,148,232.868673
28.731428,140,233.16827
34.78,137,233.472579
31.862858,177,233.545645
31.765717,148,233.690345
30.357141,151,233.733458
34.37143,150,234.008085
13.011429,119,234.132621
26.897144,113,234.406621
25.511427,122,234.867412
3.7142859,94,235.054629
3.8342843,157,235.786465
38.665714,176,235.814635
31.302856,131,235.825926
32.79143,199,236.275087
32.66286,190,236.707915
32.585716,170,236.715015
27.05143,127,236.739573
28.888573,145,236.887229
5.714287,109,237.391113
4.2285714,96,237.733969
29.122854,140,237.801545
29.534283,142,237.961382
4.5142856,104,238.259452
4.457143,106,238.392018
30.797142,134,238.82877
31.142857,143,239.746283
36.93143,189,239.755433
6.685714,111,240.13122
28.925714,152,240.219608
7.525716,117,240.227615
30.228569,153,240.373399
24.062857,113,240.672843
39.36286,222,241.105618
24.597143,123,241.401162
32.72,159,241.985022
32.65429,130,242.053
34.402855,182,242.593324
9.488572,173,242.725133
26.222855,113,243.046329
4.3571405,197,243.081007
12.642859,187,243.293683
11.868571,107,243.625822
34.642857,145,243.946913
24.36572,210,244.06898
10.062858,106,244.105413
10.665715,93,244.35934
24.43143,125,245.022285
23.128574,172,245.426855
38.825714,206,245.502203
25.274288,116,245.672514
13.105717,186,246.149193
38.32,165,246.407326
33.742855,162,246.918999
17.234287,210,247.162567
23.4,143,247.61534
27.005714,133,247.756491
33.082855,203,248.045746
4.534283,176,248.219339
5.371429,108,248.681537
33.054283,162,248.924664
28.16857,146,248.933673
29.497147,193,249.130228
11.411429,107,249.314678
32.051426,139,249.603912
27.78857,123,249.992755
4.4000006,96,250.605687
11.028573,180,250.633004
29.20857,176,251.087871
15.594284,153,251.136234
31.160004,150,251.605577
5.7028527,216,251.947725
31.105713,147,251.989152
29.542856,228,252.041446
11.7514305,126,252.271601
31.868568,125,252.383287
3.92,90,253.253103
33.32286,164,253.329131
29.62857,170,253.53001
12.097144,110,253.557148
4.0571427,94,253.67089
26.717144,126,253.694541
39.928574,181,254.465345
5.142858,97,255.275279
34.891426,190,255.32949
29.05143,119,255.356896
4.6285715,109,255.510023
24.19143,125,255.715071
27.877142,124,255.747352
27.674284,176,256.012833
29.699999,124,256.255285
3.7714286,95,257.124807
31.991428,148,257.360162
34.314285,153,257.544249
24.87143,120,257.758879
23.64286,160,257.767019
38.888573,170,257.782291
27.14,113,257.830724
36.48,177,258.231333
21.408571,97,258.732071
24.825712,124,258.802166
5.028572,102,258.960229
27.30286,147,259.768266
32.185715,144,259.768266
12.511435,172,260.160486
27.417141,142,260.168606
34.825714,178,260.385854
28.197144,138,260.673705
7.8571434,159,261.128988
3.9485698,167,261.353664
8.000001,119,261.876456
9.642857,120,262.279645
22.939999,100,262.474216
26.608572,142,262.530304
4.0057125,169,262.538311
30.697147,200,263.530124
7.5057173,164,263.944086
24.33143,111,264.120166
35.828568,176,264.245365
29.011429,139,264.37709
32.757137,153,264.644235
33.031425,231,264.644235
31.79429,188,264.852945
12.84,132,265.990922
9.420002,135,266.234202
35.42,194,266.271889
30.11143,176,266.472833
8.440002,194,267.229462
28.314285,176,267.494929
32.788574,192,267.516226
4.7657113,192,267.516226
10.037142,119,267.758092
27.465714,140,268.293328
30.388573,145,268.590928
31.542854,175,268.850025
37.248573,170,270.010417
34.662857,158,270.072013
28.220003,140,270.072013
29.059998,159,270.08483
32.545715,171,270.273551
31.282858,128,271.011727
26.39143,173,271.070762
23.68,160,271.260274
9.462858,98,271.570088
28.374285,115,271.644504
29.985716,144,272.260048
24.754286,185,272.978413
10.800001,132,273.138249
36.514286,217,273.344769
27.757145,156,273.576505
13.342861,180,273.658795
37.38286,165,274.031003
10.005711,189,274.264403
12.21143,103,274.451645
30.254284,157,274.470915
29.045713,136,274.975511
26.999998,120,275.369898
31.38286,151,275.387208
28.59714,146,275.593669
34.08,145,276.108554
28.837143,139,276.18914
38.14857,174,277.128623
20.737143,113,277.181401
33.0,204,277.702161
28.480001,150,278.011375
3.0114284,174,278.221696
21.028576,205,278.250288
29.048569,164,278.818733
24.294285,177,278.840335
11.420002,147,279.312411
27.242859,154,279.319417
27.494284,110,279.51769
22.8,123,279.817565
10.30571,203,280.311419
3.3028564,172,280.451446
27.400002,141,280.697117
4.4171405,173,281.106296
35.685715,157,281.359652
34.105713,169,281.439936
4.057143,95,281.598927
3.951427,164,281.619298
20.717144,201,282.497324
33.214287,158,282.525443
4.594283,159,282.810292
24.408571,118,283.243828
32.62571,164,283.301915
29.954283,166,283.669035
21.037144,154,283.736006
24.508572,113,284.666589
35.00857,229,284.902052
32.97428,162,285.099601
31.43143,127,285.221966
30.534286,140,285.586575
38.16572,220,285.853652
2.7200003,155,286.090599
11.297143,98,286.090599
34.008568,171,286.500094
5.7714295,112,286.552568
2.8400002,151,287.240679
32.28,148,287.427733
21.562859,103,287.528427
31.568571,151,287.711101
25.262856,128,288.36557
36.40857,169,288.466479
29.302856,202,288.705923
25.222858,169,288.876151
10.665715,96,288.920482
33.58857,133,289.596547
26.440002,174,289.839581
26.22572,197,290.043987
24.882856,101,290.131494
33.239998,143,290.530506
33.351425,158,290.572613
28.831429,144,290.827685
3.5428572,93,291.167105
30.485714,143,291.920607
6.5714293,109,291.977998
6.340002,204,292.116834
23.214285,161,292.605033
25.174284,113,292.797552
29.53143,145,292.840847
10.665715,95,293.262899
25.805714,117,293.748759
6.402852,216,293.951154
3.3028564,180,293.987187
29.042858,115,294.388883
3.9485693,176,294.436963
33.37142,177,295.044998
24.825712,134,295.078157
4.5914297,164,295.096174
23.577145,107,295.370534
29.439997,132,296.164877
4.882854,202,296.403892
33.065712,166,296.598169
7.159996,206,296.659362
12.380001,134,296.831242
29.685713,142,296.922476
33.65428,171,297.326216
5.0599966,179,297.746509
27.54857,129,298.138697
34.988567,159,298.236689
30.568575,146,298.675079
31.594284,139,299.009152
33.214287,173,299.141708
24.30286,132,299.406555
10.665715,94,301.285812
10.019998,223,301.520243
15.528574,152,301.728669
10.551429,99,301.962558
