#{"t_start": 1764333360.1245508, "env_id": "None"}
r,l,t
15.153334,199,186547.269868
25.86,148,186560.733398
15.326664,189,186570.839264
31.739998,179,186589.998415
38.37333,208,186599.674135
27.05333,153,186600.999969
26.580002,143,186637.544252
32.659996,174,186639.033027
36.439995,191,186658.252737
12.133324,211,186660.042
10.279997,156,186663.744938
24.89333,135,186689.744766
31.126663,175,186718.270558
36.606663,198,186721.368843
15.106667,141,186739.273073
25.166668,152,186763.87742
42.666656,200,186780.446052
34.806667,188,186790.06384
21.039995,210,186802.831676
27.853333,173,186807.010205
29.226667,157,186828.44151
35.006668,191,186853.244757
32.006664,169,186856.629856
29.286663,157,186874.686718
23.83333,159,186889.242877
31.553333,162,186907.386682
17.526667,117,186913.436995
27.933329,167,186926.978835
18.580002,176,186936.191548
10.633334,129,186948.847309
28.579998,159,187123.636768
30.546661,164,187138.231774
23.299984,218,187143.332294
11.580003,169,187152.665015
29.413332,176,187163.426686
15.799999,201,187190.493831
34.20666,225,187218.460358
30.079998,217,187226.530646
28.49333,173,187245.003129
29.279995,155,187249.566957
30.079998,150,187250.678813
31.706661,167,187272.006033
32.14666,159,187278.732129
36.993332,177,187327.374579
23.746664,167,187350.129332
30.379993,160,187352.318074
31.786667,163,187378.76069
24.886667,126,187382.815887
24.299995,175,187384.395988
30.899994,156,187398.674755
30.273323,225,187426.710966
33.966663,168,187453.776399
33.17333,174,187473.409202
33.066666,176,187476.251631
37.19333,171,187491.612641
39.933334,184,187501.087996
29.546665,177,187510.278265
38.54,200,187512.159369
18.2,123,187551.336917
31.806664,170,187554.924439
14.586657,251,187579.350537
33.77333,178,187581.760402
29.339996,158,187588.422925
25.98,152,187610.357008
32.373333,208,187634.172084
35.153324,196,187636.532989
27.586666,151,187645.748
28.999998,161,187656.560768
32.67333,183,187701.044385
33.906666,165,187713.536992
33.63333,203,187720.179067
29.333334,220,187721.801351
28.633331,163,187734.332199
34.306664,180,187749.535222
32.759995,173,187758.043884
27.606663,163,187762.158076
22.626665,133,187789.662426
31.16,153,187789.663427
27.72,152,187821.236204
32.08666,187,187829.419659
30.566662,200,187838.135862
30.013329,165,187846.415993
33.206657,168,187859.512107
24.806665,131,187872.398711
27.606667,142,187878.998615
14.2599945,213,187884.627979
12.733334,109,187898.20827
36.22666,176,187930.307794
26.326666,155,187951.35253
26.719997,178,187951.35253
31.693325,192,187953.158473
33.206665,162,187982.634575
20.52,177,187988.099411
36.76,200,187995.37448
26.673332,166,188001.459658
16.66,155,188051.374358
